Region;ort;gid;GENERATION;Informant;PAM-Wert_WSS;Kontrollwert_WSS;PAM-Wert_NOSO;Kontrollwert_NOSO;PAM-Wert_NOT;Kontrollwert_NOT;PAM-Wert_INT;Kontrollwert_INT;PAM-Wert_FG;Kontrollwert_FG;PAM-Wert_WSD;Kontrollwert_WSD
Osthessisch;Hofbieber;100236;mittel;FD4;0.72;0.5;0.84;0.63;1.48;1;1.08;0.9;2.1;2;2.37;2.3
Osthessisch;Hofbieber;100236;jung;FDJUNG1;0.93;0.32;1;0.25;-;-;1.49;1;1.42;0.9;2.01;1.9
Thüringisch;Erfurt;138764;alt;(EFALT2);1.1;0.7;1.15;0.8;-;-;1.58;1;1.62;1;1.69;1.3
Thüringisch;Erfurt;138764;mittel;(EF2);1.01;0.8;1.34;1;-;-;1.83;1.2;1.78;1.4;1.38;1
Thüringisch;Erfurt;138764;jung;(EFJUNG2);0.79;0.6;1.05;0.8;-;-;1.35;1.1;1.43;1.1;1.31;1.1
Thüringisch;Heilbad Heiligenstadt;142955;mittel;EIC1;0.94;0.46;1.04;;1.38;;1.7;;1.81;;0.99;
Thüringisch;Heilbad Heiligenstadt;142955;alt;EICALT1;1.28;;1.27;;-;-;1.97;;2.48;;1.96;
Thüringisch;Heilbad Heiligenstadt;142955;jung;EICJUNG;0.73;;1.06;;-;-;1.67;;1.79;;1.68;
Thüringisch;Sondershausen;141165;alt;KYFALT2;1.93;1.8;1.96;1.6;-;-;2.54;2;2.56;2.4;2.81;2.5
Thüringisch;Sondershausen;141165;mittel;KYF5;1.42;1.1;1.83;1.2;-;-;2.11;1.7;2.08;1.6;1.82;1.3
Thüringisch;Sondershausen;141165;jung;KYFJUNG1;0.88;;1.01;;-;-;1.93;;1.76;;1.54;
Thüringisch-Obersächsisch;Gera;139192;alt;GALT1;1.39;1.1;1.28;1;-;-;1.54;1.3;1.56;1.2;1.18;1
Thüringisch-Obersächsisch;Gera;139192;mittel;G2;1.71;1.1;1.36;1.1;-;1.2;2.14;1.4;2.35;1.3;1.77;1.4
Thüringisch-Obersächsisch;Gera;139192;jung;GJUNG1;1.24;;0.95;;-;-;1.66;;2;;1.46;
Thüringisch-Obersächsisch;Halle;125052;mittel;HAL3;1.1;;1.15;;1.67;;1.47;;1.83;;1.38;
Thüringisch-Obersächsisch;Halle;125052;alt;HALALT;1.52;;1.63;;-;-;2.02;;2.05;;1.91;
Thüringisch-Obersächsisch;Halle;125052;jung;HALJUNG4;1.02;;0.91;;-;-;1.31;;1.43;;1.76;
Obersächsisch;Dresden;137577;alt;DDALT;1.07;0.9;1.33;1;-;-;2.03;1.2;1.82;1.3;1.28;1
Obersächsisch;Dresden;137577;mittel;DD4;1.27;0.9;1.3;0.8;1.93;1;1.84;1;2.06;1.1;1.43;1
Obersächsisch;Dresden;137577;jung;DDJUNG2;0.81;0.9;0.7;0.8;-;-;1.55;0.9;1.51;1;1.62;1.3
Obersächsisch;Reichenbach;137668;alt;ZALT1;1.85;1.4;1.88;1.5;-;-;2.6;1.9;2.24;1.8;2.39;1.8
Obersächsisch;Reichenbach;137668;mittel;Z9;1.51;1.3;1.94;1.5;-;1.8;2.35;2;2.83;2;2.43;2.2
Obersächsisch;Reichenbach;137668;jung;ZJUNG1;1.13;;1.35;;-;-;1.86;;2.17;;2.21;
Nordobersächsisch;Dessau;120091;alt;DEALT3;1.58;;1.31;;-;-;1.76;;1.8;;1.73;
Nordobersächsisch;Dessau;120091;mittel;DE3;0.95;;1.04;;1.72;;1.56;;1.62;;1.74;
Nordobersächsisch;Dessau;120091;jung;DEJUNG1;0.91;0.4;0.99;;-;-;1.92;;1.66;0.3;1.12;
Ostfränkisch;Ansbach;92718;alt;ANALT2;1.68;1.1;1.57;1.1;-;-;1.91;1.4;2.24;1.7;2.39;1.9
Ostfränkisch;Ansbach;92718;mittel;AN3;1.06;0.6;1.36;0.8;2.03;1;2.17;1.3;2.24;1.7;2.3;1.8
Ostfränkisch;Ansbach;92718;jung;ANJUNG;1.46;0.8;1.48;1.2;-;-;2.08;1.3;2.42;1.6;2.47;1.9
Ostfränkisch;Bamberg;85574;alt;BAALT;1.12;0.9;1.23;1;-;-;1.95;1.5;2.04;1.6;1.91;1.7
Ostfränkisch;Bamberg;85574;mittel;BA1;0.96;0.8;1.25;0.9;1.77;1.2;1.67;1.4;1.82;1.5;1.82;1.7
